1	1	0	953	666258	1430
1	2	0	954	1077869	885
1	4	0	501	744325	673
2	1	0	821	571152	1437
2	2	0	579	571152	1013
2	4	0	510	571152	892
3	1	0	1239	1084046	1142
3	2	0	950	1084046	876
3	4	0	846	1084046	780
1	1	10	1350	969918	1391
1	2	10	690	775180	890
1	4	10	1274	2240350	568
2	1	10	470	308102	1525
2	2	10	337	308102	1093
2	4	10	308	308102	999
3	1	10	817	714893	1142
3	2	10	643	714893	899
3	4	10	579	714893	809
1	1	20	1228	829277	1480
1	2	20	690	742605	929
1	4	20	633	933394	678
2	1	20	669	485473	1378
2	2	20	496	485473	1021
2	4	20	424	485473	873
3	1	20	1011	913399	1106
3	2	20	784	913399	858
3	4	20	696	913399	761
1	1	30	605	399141	1515
1	2	30	746	822756	906
1	4	30	660	1053999	626
2	1	30	912	581512	1568
2	2	30	631	581512	1085
2	4	30	578	581512	993
3	1	30	410	331179	1238
3	2	30	334	331179	1008
3	4	30	310	331179	936
1	1	40	1125	789699	1424
1	2	40	459	461225	995
1	4	40	540	792626	681
2	1	40	1252	844471	1482
2	2	40	913	844471	1081
2	4	40	821	844471	972
3	1	40	915	789277	1159
3	2	40	725	789277	918
3	4	40	658	789277	833
1	1	50	852	597126	1426
1	2	50	1219	1338307	910
1	4	50	798	1248690	639
2	1	50	1406	988680	1422
2	2	50	1003	988680	1014
2	4	50	860	988680	869
3	1	50	808	704644	1146
3	2	50	642	704644	911
3	4	50	578	704644	820
1	1	60	849	553182	1534
1	2	60	569	599979	948
1	4	60	479	736310	650
2	1	60	1377	931868	1477
2	2	60	1006	931868	1079
2	4	60	838	931868	899
3	1	60	387	310190	1247
3	2	60	319	310190	1028
3	4	60	292	310190	941
1	1	70	933	644607	1447
1	2	70	456	476122	957
1	4	70	517	759221	680
2	1	70	713	473910	1504
2	2	70	525	473910	1107
2	4	70	471	473910	993
3	1	70	274	216387	1266
3	2	70	231	216387	1067
3	4	70	217	216387	1002
1	1	80	778	529683	1468
1	2	80	1082	1248128	866
1	4	80	966	1602233	602
2	1	80	494	308761	1599
2	2	80	352	308761	1140
2	4	80	323	308761	1046
3	1	80	520	456092	1140
3	2	80	420	456092	920
3	4	80	380	456092	833
1	1	90	1349	985245	1369
1	2	90	765	847209	902
1	4	90	696	1026668	677
2	1	90	891	587798	1515
2	2	90	628	587798	1068
2	4	90	552	587798	939
3	1	90	587	478369	1227
3	2	90	492	478369	1028
3	4	90	445	478369	930
